Win,Loss,Team,Data,,
21,33,NYU,"[9, 15, 1876]",,
14,44,ATH,"[9, 15, 1876]",,
8,51,CIN,"[9, 15, 1876]",,
49,13,CHC,"[9, 16, 1876]",,
42,18,STL,"[9, 16, 1876]",,
38,18,HAR,"[9, 16, 1876]",,
35,25,BSN,"[9, 16, 1876]",,
29,33,LOU,"[9, 16, 1876]",,
21,34,NYU,"[9, 16, 1876]",,
14,45,ATH,"[9, 16, 1876]",,
9,51,CIN,"[9, 16, 1876]",,
50,13,CHC,"[9, 22, 1876]",,
35,26,BSN,"[9, 22, 1876]",,
50,14,CHC,"[9, 23, 1876]",,
36,26,BSN,"[9, 23, 1876]",,
51,14,CHC,"[9, 26, 1876]",,
38,19,HAR,"[9, 26, 1876]",,
52,14,CHC,"[9, 27, 1876]",,
38,20,HAR,"[9, 27, 1876]",,
37,26,BSN,"[9, 27, 1876]",,
9,52,CIN,"[9, 27, 1876]",,
38,26,BSN,"[9, 28, 1876]",,
9,53,CIN,"[9, 28, 1876]",,
43,18,STL,"[9, 29, 1876]",,
38,21,HAR,"[9, 29, 1876]",,
38,27,BSN,"[9, 29, 1876]",,
30,33,LOU,"[9, 29, 1876]",,
43,19,STL,"[9, 30, 1876]",,
39,21,HAR,"[9, 30, 1876]",,
39,27,BSN,"[9, 30, 1876]",,
30,34,LOU,"[9, 30, 1876]",,
44,19,STL,"[10, 3, 1876]",,
39,28,BSN,"[10, 3, 1876]",,
45,19,STL,"[10, 4, 1876]",,
40,21,HAR,"[10, 4, 1876]",,
39,29,BSN,"[10, 4, 1876]",,
30,35,LOU,"[10, 4, 1876]",,
41,21,HAR,"[10, 5, 1876]",,
30,36,LOU,"[10, 5, 1876]",,
42,21,HAR,"[10, 6, 1876]",,
9,54,CIN,"[10, 6, 1876]",,
43,21,HAR,"[10, 7, 1876]",,
9,55,CIN,"[10, 7, 1876]",,
44,21,HAR,"[10, 9, 1876]",,
9,56,CIN,"[10, 9, 1876]",,
45,21,HAR,"[10, 17, 1876]",,
21,35,NYU,"[10, 17, 1876]",,
46,21,HAR,"[10, 20, 1876]",,
39,30,BSN,"[10, 20, 1876]",,
47,21,HAR,"[10, 21, 1876]",,
39,31,BSN,"[10, 21, 1876]",,
4,2,BSN,"[5, 19, 1877]",,
5,2,BSN,"[5, 21, 1877]",,
6,2,BSN,"[5, 22, 1877]",,
1,5,CIN,"[5, 22, 1877]",,
4,3,HAR,"[5, 23, 1877]",,
1,6,CIN,"[5, 23, 1877]",,
1,7,CIN,"[5, 26, 1877]",,
6,3,STL,"[5, 30, 1877]",,
7,2,BSN,"[6, 2, 1877]",,
6,5,LOU,"[6, 2, 1877]",,
8,2,BSN,"[6, 4, 1877]",,
8,4,STL,"[6, 5, 1877]",,
8,3,BSN,"[6, 9, 1877]",,
10,5,STL,"[6, 11, 1877]",,
8,7,LOU,"[6, 12, 1877]",,
7,9,CHC,"[6, 12, 1877]",,
9,4,BSN,"[6, 16, 1877]",,
10,7,LOU,"[6, 16, 1877]",,
7,10,CHC,"[6, 16, 1877]",,
3,14,CIN,"[6, 16, 1877]",,
10,4,BSN,"[6, 18, 1877]",,
10,8,STL,"[6, 19, 1877]",,
7,12,CHC,"[6, 19, 1877]",,
11,5,BSN,"[6, 21, 1877]",,
11,8,STL,"[6, 21, 1877]",,
7,13,CHC,"[6, 21, 1877]",,
11,7,LOU,"[6, 23, 1877]",,
11,9,STL,"[6, 26, 1877]",,
8,13,CHC,"[6, 26, 1877]",,
11,10,STL,"[6, 28, 1877]",,
13,6,BSN,"[6, 30, 1877]",,
12,10,LOU,"[6, 30, 1877]",,
11,11,STL,"[7, 2, 1877]",,
12,11,STL,"[7, 3, 1877]",,
3,15,CIN,"[7, 3, 1877]",,
13,7,BSN,"[7, 4, 1877]",,
13,11,LOU,"[7, 4, 1877]",STL,"[7, 4, 1877]"
14,11,STL,"[7, 5, 1877]",,
14,7,BSN,"[7, 6, 1877]",,
15,7,BSN,"[7, 7, 1877]",,
15,8,BSN,"[7, 11, 1877]",,
15,11,LOU,"[7, 11, 1877]",,
15,9,BSN,"[7, 12, 1877]",,
16,11,LOU,"[7, 12, 1877]",,
16,9,BSN,"[7, 13, 1877]",,
14,12,STL,"[7, 13, 1877]",,
15,12,STL,"[7, 14, 1877]",,
12,15,CHC,"[7, 14, 1877]",,
16,12,STL,"[7, 16, 1877]",,
12,16,CHC,"[7, 16, 1877]",,
16,13,STL,"[7, 17, 1877]",,
17,13,STL,"[7, 18, 1877]",,
17,11,LOU,"[7, 19, 1877]",,
16,14,HAR,"[7, 19, 1877]",,
17,12,LOU,"[7, 20, 1877]",,
17,14,HAR,"[7, 20, 1877]",,
5,19,CIN,"[7, 20, 1877]",,
20,11,BSN,"[7, 21, 1877]",,
18,12,LOU,"[7, 21, 1877]",,
5,20,CIN,"[7, 21, 1877]",,
20,13,BSN,"[7, 24, 1877]",,
6,20,CIN,"[7, 24, 1877]",,
7,20,CIN,"[7, 25, 1877]",,
20,14,BSN,"[7, 27, 1877]",,
18,13,STL,"[7, 27, 1877]",,
19,13,STL,"[7, 28, 1877]",,
20,15,BSN,"[7, 28, 1877]",,
19,14,STL,"[7, 31, 1877]",,
13,19,CHC,"[7, 31, 1877]",,
8,20,CIN,"[7, 31, 1877]",,
19,15,STL,"[8, 1, 1877]",,
8,21,CIN,"[8, 2, 1877]",,
8,22,CIN,"[8, 4, 1877]",,
23,13,LOU,"[8, 6, 1877]",,
21,15,STL,"[8, 6, 1877]",,
15,20,CHC,"[8, 6, 1877]",,
8,23,CIN,"[8, 6, 1877]",,
24,13,LOU,"[8, 7, 1877]",,
21,16,STL,"[8, 7, 1877]",,
8,24,CIN,"[8, 7, 1877]",,
25,13,LOU,"[8, 8, 1877]",,
22,15,BSN,"[8, 8, 1877]",,
21,17,STL,"[8, 8, 1877]",,
17,20,HAR,"[8, 8, 1877]",,
8,25,CIN,"[8, 9, 1877]",,
22,16,BSN,"[8, 10, 1877]",,
18,20,HAR,"[8, 10, 1877]",,
22,17,BSN,"[8, 11, 1877]",STL,"[8, 11, 1877]"
19,20,HAR,"[8, 11, 1877]",,
17,21,CHC,"[8, 11, 1877]",,
8,26,CIN,"[8, 11, 1877]",,
27,13,LOU,"[8, 13, 1877]",,
23,17,STL,"[8, 13, 1877]",,
17,22,CHC,"[8, 13, 1877]",,
8,27,CIN,"[8, 13, 1877]",,
23,18,STL,"[8, 17, 1877]",,
20,20,HAR,"[8, 17, 1877]",,
18,22,CHC,"[8, 17, 1877]",,
8,28,CIN,"[8, 17, 1877]",,
21,20,HAR,"[8, 18, 1877]",,
19,22,CHC,"[8, 18, 1877]",,
8,29,CIN,"[8, 18, 1877]",,
27,15,LOU,"[8, 20, 1877]",,
22,20,HAR,"[8, 20, 1877]",,
27,16,LOU,"[8, 21, 1877]",,
24,17,BSN,"[8, 21, 1877]",,
23,20,HAR,"[8, 21, 1877]",,
8,30,CIN,"[8, 21, 1877]",,
25,17,BSN,"[8, 23, 1877]",,
8,31,CIN,"[8, 23, 1877]",,
26,17,BSN,"[8, 24, 1877]",,
20,22,CHC,"[8, 24, 1877]",,
8,32,CIN,"[8, 24, 1877]",,
27,17,BSN,"[8, 25, 1877]",LOU,"[8, 25, 1877]"
24,20,STL,"[8, 25, 1877]",,
20,23,CHC,"[8, 25, 1877]",,
28,17,BSN,"[8, 27, 1877]",,
27,18,LOU,"[8, 27, 1877]",,
