Loss,Win,Team,Date,Img_Link
51,43,Washington Senators,"8, 11, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/CLE-1902.png'
54,38,Baltimore Orioles ,"8, 11, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/BAL-2022.png'
49,46,Cleveland Bronchos,"8, 12, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/CHW-2022.png'
55,38,Baltimore Orioles ,"8, 12, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/BOS-1907.png'
40,52,Chicago White Sox,"8, 13, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/CLE-1902.png'
44,52,Boston Americans,"8, 13, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/WSH-1960.png'
50,46,Cleveland Bronchos,"8, 13, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/DET-2022.png'
52,43,Washington Senators,"8, 13, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/BAL-2022.png'
51,39,Detroit Tigers,"8, 13, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/PHA-1954.png'
55,39,Baltimore Orioles ,"8, 13, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/BOS-1907.png'
40,50,Philadelphia Athletics,"8, 14, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/CLE-1902.png'
44,53,Boston Americans,"8, 14, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/CHW-2022.png'
51,46,Cleveland Bronchos,"8, 14, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/CLE-1902.png'
42,52,Chicago White Sox,"8, 15, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/WSH-1960.png'
51,47,Cleveland Bronchos,"8, 15, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/BAL-2022.png'
52,45,Washington Senators,"8, 15, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/PHA-1954.png'
56,40,Baltimore Orioles ,"8, 15, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/BOS-1907.png'
40,53,Philadelphia Athletics,"8, 16, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/CHW-2022.png'
44,55,Boston Americans,"8, 16, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/CLE-1902.png'
43,52,Chicago White Sox,"8, 16, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/WSH-1960.png'
51,48,Cleveland Bronchos,"8, 16, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/BAL-2022.png'
53,45,Washington Senators,"8, 16, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/DET-2022.png'
57,40,Baltimore Orioles ,"8, 16, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/PHA-1954.png'
56,39,Detroit Tigers,"8, 16, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/SLB-1953.png'
40,54,Philadelphia Athletics,"8, 18, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/CLE-1902.png'
42,53,St. Louis Browns,"8, 18, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/WSH-1960.png'
51,49,Cleveland Bronchos,"8, 18, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/CLE-1902.png'
54,45,Washington Senators,"8, 18, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/WSH-1960.png'
52,49,Cleveland Bronchos,"8, 19, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/PHA-1954.png'
54,46,Washington Senators,"8, 19, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/CLE-1902.png'
41,55,Philadelphia Athletics,"8, 20, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/WSH-1960.png'
52,50,Cleveland Bronchos,"8, 20, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/BAL-2022.png'
55,46,Washington Senators,"8, 20, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/DET-2022.png'
58,42,Baltimore Orioles ,"8, 20, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/PHA-1954.png'
57,39,Detroit Tigers,"8, 20, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/CLE-1902.png'
41,56,Philadelphia Athletics,"8, 21, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/WSH-1960.png'
53,50,Cleveland Bronchos,"8, 21, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/BAL-2022.png'
55,47,Washington Senators,"8, 21, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/DET-2022.png'
58,43,Baltimore Orioles ,"8, 21, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/PHA-1954.png'
58,39,Detroit Tigers,"8, 21, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/CLE-1902.png'
41,57,Philadelphia Athletics,"8, 22, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/WSH-1960.png'
53,51,Cleveland Bronchos,"8, 22, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/BAL-2022.png'
56,47,Washington Senators,"8, 22, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/DET-2022.png'
59,43,Baltimore Orioles ,"8, 22, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/PHA-1954.png'
58,40,Detroit Tigers,"8, 22, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/BOS-1907.png'
41,58,Philadelphia Athletics,"8, 23, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/CHW-2022.png'
46,57,Boston Americans,"8, 23, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/SLB-1953.png'
46,55,Chicago White Sox,"8, 23, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/CLE-1902.png'
46,54,St. Louis Browns,"8, 23, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/WSH-1960.png'
54,51,Cleveland Bronchos,"8, 23, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/BAL-2022.png'
56,48,Washington Senators,"8, 23, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/DET-2022.png'
59,44,Baltimore Orioles ,"8, 23, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/PHA-1954.png'
59,40,Detroit Tigers,"8, 23, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/BOS-1907.png'
41,59,Philadelphia Athletics,"8, 25, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/CHW-2022.png'
46,58,Boston Americans,"8, 25, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/CLE-1902.png'
47,55,Chicago White Sox,"8, 25, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/WSH-1960.png'
55,51,Cleveland Bronchos,"8, 25, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/BAL-2022.png'
56,50,Washington Senators,"8, 25, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/DET-2022.png'
59,45,Baltimore Orioles ,"8, 25, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/PHA-1954.png'
61,40,Detroit Tigers,"8, 25, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/BOS-1907.png'
41,60,Philadelphia Athletics,"8, 26, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/CHW-2022.png'
46,59,Boston Americans,"8, 26, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/CLE-1902.png'
47,56,Chicago White Sox,"8, 26, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/BAL-2022.png'
56,51,Cleveland Bronchos,"8, 26, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/DET-2022.png'
60,45,Baltimore Orioles ,"8, 26, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/PHA-1954.png'
62,40,Detroit Tigers,"8, 26, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/CLE-1902.png'
42,60,Philadelphia Athletics,"8, 27, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/PHA-1954.png'
56,52,Cleveland Bronchos,"8, 27, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/BOS-1907.png'
43,61,Philadelphia Athletics,"8, 28, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/CHW-2022.png'
47,59,Boston Americans,"8, 28, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/SLB-1953.png'
48,57,Chicago White Sox,"8, 28, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/CLE-1902.png'
48,55,St. Louis Browns,"8, 28, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/WSH-1960.png'
56,53,Cleveland Bronchos,"8, 28, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/BAL-2022.png'
57,51,Washington Senators,"8, 28, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/DET-2022.png'
61,45,Baltimore Orioles ,"8, 28, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/PHA-1954.png'
62,41,Detroit Tigers,"8, 28, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/BOS-1907.png'
43,62,Philadelphia Athletics,"8, 29, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/CHW-2022.png'
47,60,Boston Americans,"8, 29, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/CLE-1902.png'
49,57,Chicago White Sox,"8, 29, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/WSH-1960.png'
56,54,Cleveland Bronchos,"8, 29, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/BAL-2022.png'
58,51,Washington Senators,"8, 29, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/DET-2022.png'
63,45,Baltimore Orioles ,"8, 29, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/BOS-1907.png'
63,41,Detroit Tigers,"8, 29, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/SLB-1953.png'
47,61,Boston Americans,"8, 30, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/CHW-2022.png'
48,58,St. Louis Browns,"8, 30, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/CLE-1902.png'
50,58,Chicago White Sox,"8, 30, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/WSH-1960.png'
56,55,Cleveland Bronchos,"8, 30, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/BAL-2022.png'
59,51,Washington Senators,"8, 30, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/DET-2022.png'
64,45,Baltimore Orioles ,"8, 30, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/PHA-1954.png'
64,41,Detroit Tigers,"8, 30, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/BOS-1907.png'
46,63,Philadelphia Athletics,"8, 31, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/SLB-1953.png'
47,62,Boston Americans,"8, 31, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/CHW-2022.png'
48,60,St. Louis Browns,"8, 31, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/CLE-1902.png'
50,59,Chicago White Sox,"8, 31, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/WSH-1960.png'
57,55,Cleveland Bronchos,"8, 31, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/BAL-2022.png'
59,52,Washington Senators,"8, 31, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/DET-2022.png'
65,45,Baltimore Orioles ,"8, 31, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/PHA-1954.png'
65,41,Detroit Tigers,"8, 31, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/SLB-1953.png'
48,63,Philadelphia Athletics,"9, 1, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/BOS-1907.png'
48,62,St. Louis Browns,"9, 1, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/CHW-2022.png'
49,62,Boston Americans,"9, 1, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/CLE-1902.png'
50,60,Chicago White Sox,"9, 1, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/WSH-1960.png'
57,57,Cleveland Bronchos,"9, 1, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/BAL-2022.png'
61,52,Washington Senators,"9, 1, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/DET-2022.png'
66,45,Baltimore Orioles ,"9, 1, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/PHA-1954.png'
65,43,Detroit Tigers,"9, 1, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/BOS-1907.png'
48,64,Philadelphia Athletics,"9, 2, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/CHW-2022.png'
49,63,Boston Americans,"9, 2, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/BAL-2022.png'
51,60,Chicago White Sox,"9, 2, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/DET-2022.png'
67,45,Baltimore Orioles ,"9, 2, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/PHA-1954.png'
66,43,Detroit Tigers,"9, 2, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/CLE-1902.png'
48,65,Philadelphia Athletics,"9, 3, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/BAL-2022.png'
57,59,Cleveland Bronchos,"9, 3, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/DET-2022.png'
68,45,Baltimore Orioles ,"9, 3, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/SLB-1953.png'
67,43,Detroit Tigers,"9, 3, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/BOS-1907.png'
49,64,St. Louis Browns,"9, 4, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/CHW-2022.png'
50,64,Boston Americans,"9, 4, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/CLE-1902.png'
52,61,Chicago White Sox,"9, 4, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/WSH-1960.png'
57,60,Cleveland Bronchos,"9, 4, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/BAL-2022.png'
63,53,Washington Senators,"9, 4, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/DET-2022.png'
69,45,Baltimore Orioles ,"9, 4, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/PHA-1954.png'
68,43,Detroit Tigers,"9, 4, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/SLB-1953.png'
49,66,Philadelphia Athletics,"9, 5, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/BOS-1907.png'
49,65,St. Louis Browns,"9, 5, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/CHW-2022.png'
51,64,Boston Americans,"9, 5, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/WSH-1960.png'
52,62,Chicago White Sox,"9, 5, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/BAL-2022.png'
64,53,Washington Senators,"9, 5, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/DET-2022.png'
69,46,Baltimore Orioles ,"9, 5, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/SLB-1953.png'
69,43,Detroit Tigers,"9, 5, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/BOS-1907.png'
50,65,St. Louis Browns,"9, 6, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/CHW-2022.png'
51,65,Boston Americans,"9, 6, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/CLE-1902.png'
52,63,Chicago White Sox,"9, 6, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/WSH-1960.png'
58,61,Cleveland Bronchos,"9, 6, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/BAL-2022.png'
65,53,Washington Senators,"9, 6, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/BOS-1907.png'
71,46,Baltimore Orioles ,"9, 6, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/CHW-2022.png'
51,66,Boston Americans,"9, 7, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/WSH-1960.png'
52,64,Chicago White Sox,"9, 7, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/BAL-2022.png'
66,53,Washington Senators,"9, 7, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/PHA-1954.png'
72,46,Baltimore Orioles ,"9, 7, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/CLE-1902.png'
49,68,Philadelphia Athletics,"9, 8, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/DET-2022.png'
59,61,Cleveland Bronchos,"9, 8, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/BOS-1907.png'
70,46,Detroit Tigers,"9, 8, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/WSH-1960.png'
52,66,Boston Americans,"9, 9, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/PHA-1954.png'
66,54,Washington Senators,"9, 9, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/SLB-1953.png'
49,70,Philadelphia Athletics,"9, 10, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/CHW-2022.png'
51,68,St. Louis Browns,"9, 10, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/WSH-1960.png'
54,64,Chicago White Sox,"9, 10, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/BAL-2022.png'
68,54,Washington Senators,"9, 10, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/PHA-1954.png'
74,46,Baltimore Orioles ,"9, 10, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/BOS-1907.png'
49,72,Philadelphia Athletics,"9, 11, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/CHW-2022.png'
53,68,Boston Americans,"9, 11, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/WSH-1960.png'
54,65,Chicago White Sox,"9, 11, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/DET-2022.png'
68,55,Washington Senators,"9, 11, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/BAL-2022.png'
72,47,Detroit Tigers,"9, 11, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/PHA-1954.png'
76,46,Baltimore Orioles ,"9, 11, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/WSH-1960.png'
50,72,Philadelphia Athletics,"9, 12, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/SLB-1953.png'
68,56,Washington Senators,"9, 12, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/SLB-1953.png'
54,68,St. Louis Browns,"9, 13, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/CHW-2022.png'
54,70,St. Louis Browns,"9, 14, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/CLE-1902.png'
55,66,Chicago White Sox,"9, 14, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/DET-2022.png'
62,65,Cleveland Bronchos,"9, 14, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/PHA-1954.png'
73,48,Detroit Tigers,"9, 14, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/BOS-1907.png'
50,74,Philadelphia Athletics,"9, 15, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/DET-2022.png'
55,69,Boston Americans,"9, 15, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/BAL-2022.png'
75,48,Detroit Tigers,"9, 15, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/PHA-1954.png'
78,46,Baltimore Orioles ,"9, 15, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/BOS-1907.png'
50,75,Philadelphia Athletics,"9, 16, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/WSH-1960.png'
55,70,Boston Americans,"9, 16, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/DET-2022.png'
69,57,Washington Senators,"9, 16, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/PHA-1954.png'
76,48,Detroit Tigers,"9, 16, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/BOS-1907.png'
50,76,Philadelphia Athletics,"9, 17, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/CLE-1902.png'
56,71,Boston Americans,"9, 17, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/WSH-1960.png'
62,66,Cleveland Bronchos,"9, 17, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/DET-2022.png'
70,57,Washington Senators,"9, 17, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/PHA-1954.png'
77,48,Detroit Tigers,"9, 17, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/BOS-1907.png'
50,77,Philadelphia Athletics,"9, 18, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/WSH-1960.png'
56,72,Boston Americans,"9, 18, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/DET-2022.png'
71,57,Washington Senators,"9, 18, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/BAL-2022.png'
78,48,Detroit Tigers,"9, 18, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/PHA-1954.png'
81,47,Baltimore Orioles ,"9, 18, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/BOS-1907.png'
50,78,Philadelphia Athletics,"9, 19, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/DET-2022.png'
57,72,Boston Americans,"9, 19, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/PHA-1954.png'
79,48,Detroit Tigers,"9, 19, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/SLB-1953.png'
50,79,Philadelphia Athletics,"9, 20, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/CHW-2022.png'
55,74,St. Louis Browns,"9, 20, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/CLE-1902.png'
56,70,Chicago White Sox,"9, 20, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/WSH-1960.png'
63,67,Cleveland Bronchos,"9, 20, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/BAL-2022.png'
73,57,Washington Senators,"9, 20, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/DET-2022.png'
81,49,Baltimore Orioles ,"9, 20, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/SLB-1953.png'
80,48,Detroit Tigers,"9, 20, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/DET-2022.png'
56,75,St. Louis Browns,"9, 21, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/PHA-1954.png'
82,48,Detroit Tigers,"9, 21, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/BOS-1907.png'
51,80,Philadelphia Athletics,"9, 22, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/WSH-1960.png'
59,73,Boston Americans,"9, 22, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/BAL-2022.png'
74,58,Washington Senators,"9, 22, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/DET-2022.png'
82,50,Baltimore Orioles ,"9, 22, 1902",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/PHA-1954.png'
